Latitude,Longitude,TestInfo
39.36304725,-76.70496644,test
39.34248457,-76.69935821,test
39.33675173,-76.68463318,test
39.32995503,-76.69464184,test
39.33178365,-76.69716766,test
39.33178365,-76.69716766,test
39.32995503,-76.69464184,test
39.32599972,-76.68277396,test
39.31163556,-76.70310629,test
39.29259796,-76.70209808,test
39.29497087,-76.69921564,test
39.29497087,-76.69921564,test
39.29194591,-76.68919838,test
39.28091542,-76.69386377,test
39.28395996,-76.70751518,test
39.35302403,-76.68541894,test
39.35302403,-76.68541894,test
39.35302403,-76.68541894,test
39.28099401,-76.61464943,test
39.36680388,-76.56248743,test
39.36582805,-76.59190288,test
39.2978683,-76.59908919,test
39.286287,-76.601046,test
39.28734011,-76.60104623,test
